豆瓣排名,电影名,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,豆瓣评分,评价人数,星星数,五星比例,四星比例,三星比例,二星比例,一星比例
34,['十二怒汉 12 Angry Men'],['雷金纳德·罗斯'],"['亨利·方达', '马丁·鲍尔萨姆', '约翰·菲德勒']",['剧情'],[' 美国'],[' 英语'],['1957-04-13(美国)'],['96 分钟'],['9.4'],['240755'],['45'],['74.1%'],['22.0%'],['3.6%'],['0.2%'],['0.1%']
,,,,,,,,,,,,,,,,
35,['天空之城 天空の城ラピュタ'],['宫崎骏'],"['田中真弓', '横泽启子', '初井言荣']","['动画', '奇幻', '冒险']",[' 日本'],[' 日语'],"['1992(中国大陆)', '1986-08-02(日本)']",['125分钟'],['9.1'],['475612'],['45'],['61.0%'],['32.3%'],['6.4%'],['0.3%'],['0.1%']
,,,,,,,,,,,,,,,,
36,['摔跤吧！爸爸 Dangal'],"['比于什·古普塔', '施热亚·简', '尼基尔·麦罗特拉', '涅提·蒂瓦里']","['阿米尔·汗', '法缇玛·萨那·纱卡', '桑亚·玛荷塔']","['剧情', '家庭', '传记', '运动']",[' 印度'],[' 印地语'],"['2017-05-05(中国大陆)', '2016-12-23(印度)']",['161分钟(印度)'],['9.0'],['776384'],['45'],['60.1%'],['32.9%'],['6.4%'],['0.4%'],['0.2%']
,,,,,,,,,,,,,,,,
37,['飞屋环游记 Up'],"['保伯·彼得森', '彼特·道格特', '汤姆·麦卡锡']","['爱德华·阿斯纳', '克里斯托弗·普卢默', '乔丹·长井']","['剧情', '喜剧', '动画', '冒险']",[' 美国'],[' 英语'],"['2009-08-04(中国大陆)', '2009-05-13(戛纳电影节)', '2009-05-29(美国)']",['96分钟'],['9.0'],['724414'],['45'],['56.3%'],['35.5%'],['7.8%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
38,['大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒'],"['刘镇伟', '吴承恩']","['周星驰', '吴孟达', '罗家英']","['喜剧', '爱情', '奇幻', '古装']",[' 香港 / 中国大陆'],[' 粤语 / 汉语普通话'],"['2014-10-24(中国大陆)', '1995-01-21(香港)']",['87分钟'],['9.0'],['626254'],['45'],['57.8%'],['33.0%'],['8.4%'],['0.6%'],['0.2%']
,,,,,,,,,,,,,,,,
39,['搏击俱乐部 Fight Club'],"['恰克·帕拉尼克', '吉姆·乌尔斯']","['爱德华·诺顿', '布拉德·皮特', '海伦娜·伯翰·卡特']","['剧情', '动作', '悬疑', '惊悚']",[' 美国 / 德国'],[' 英语'],"['1999-09-10(威尼斯电影节)', '1999-10-15(美国)']",['139 分钟'],['9.0'],['518861'],['45'],['60.8%'],['30.5%'],['7.6%'],['0.8%'],['0.3%']
,,,,,,,,,,,,,,,,
40,['罗马假日 Roman Holiday'],"['伊安·麦克莱伦·亨特', '约翰·戴顿', '达尔顿·特朗勃']","['奥黛丽·赫本', '格利高里·派克', '埃迪·艾伯特']","['剧情', '喜剧', '爱情']",[' 美国'],[' 英语 / 意大利语 / 德语'],['1953-09-02(美国)'],['118分钟'],['9.0'],['541673'],['45'],['57.4%'],['34.6%'],['7.6%'],['0.3%'],['0.1%']
,,,,,,,,,,,,,,,,
41,['哈尔的移动城堡 ハウルの動く城'],"['宫崎骏', '吉田玲子']","['倍赏千惠子', '木村拓哉', '美轮明宏']","['动画', '奇幻', '冒险']",[' 日本'],[' 日语'],"['2004-09-05(威尼斯电影节)', '2004-11-20(日本)']",['119分钟'],['9.0'],['526756'],['45'],['58.5%'],['33.2%'],['7.8%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
42,['闻香识女人 Scent of a Woman'],"['博·古德曼', '乔瓦尼·阿尔皮诺']","['阿尔·帕西诺', '克里斯·奥唐纳', '詹姆斯·瑞布霍恩']",['剧情'],[' 美国'],[' 英语'],['1992-12-23(美国)'],['157 分钟'],['9.0'],['463260'],['45'],['58.7%'],['33.6%'],['7.2%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
43,['辩护人 ???'],"['杨宇硕', '尹贤浩']","['宋康昊', '吴达洙', '金英爱']",['剧情'],[' 韩国'],[' 韩语'],['2013-12-18(韩国)'],['127分钟'],['9.2'],['319985'],['45'],['65.1%'],['29.6%'],['4.9%'],['0.3%'],['0.1%']
,,,,,,,,,,,,,,,,
44,['窃听风暴 Das Leben der Anderen'],['弗洛里安·亨克尔·冯·多纳斯马尔克'],"['乌尔里希·穆埃', '马蒂娜·格德克', '塞巴斯蒂安·科赫']","['剧情', '悬疑']",[' 德国'],[' 德语'],['2006-03-23(德国)'],['137分钟'],['9.1'],['321685'],['45'],['63.9%'],['29.9%'],['5.7%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
45,['末代皇帝 The Last Emperor'],"['贝纳尔多·贝托鲁奇', '马克·派普罗']","['尊龙', '陈冲', '邬君梅']","['剧情', '传记', '历史']",[' 英国 / 意大利 / 中国大陆 / 法国 / 美国'],[' 英语 / 汉语普通话 / 日语 / 俄语'],"['1987-10-04(东京国际电影节)', '1987-10-23(意大利)']",['163分钟'],['9.1'],['315342'],['45'],['63.7%'],['30.0%'],['5.7%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
46,"['两杆大烟枪 Lock, Stock and Two Smoking Barrels']",['盖·里奇'],"['杰森·弗莱明', '德克斯特·弗莱彻', '尼克·莫兰']","['剧情', '喜剧', '犯罪']",[' 英国'],[' 英语'],['1998-08-28(英国)'],['107分钟'],['9.1'],['354958'],['45'],['62.2%'],['30.7%'],['6.5%'],['0.5%'],['0.2%']
,,,,,,,,,,,,,,,,
