豆瓣排名,电影名,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,豆瓣评分,评价人数,星星数,五星比例,四星比例,三星比例,二星比例,一星比例
190,['香水 Perfume: The Story of a Murderer'],"['安德鲁·伯金', '贝尔恩德·艾辛格', '汤姆·提克威', '帕特里克·聚斯金德']","['本·卫肖', '艾伦·瑞克曼', '蕾切儿·哈伍德']","['剧情', '犯罪', '奇幻']",[' 德国 / 法国 / 西班牙 / 美国'],[' 英语'],"['2006-09-07(德国)', '2006-09-14(法国)', '2006-11-24(西班牙)', '2007-01-05(美国)']",['147分钟'],['8.5'],['346889'],['45'],['41.0%'],['43.2%'],['13.7%'],['1.5%'],['0.5%']
,,,,,,,,,,,,,,,,
191,['黑客帝国3：矩阵革命 The Matrix Revolutions'],"['莉莉·沃卓斯基', '拉娜·沃卓斯基']","['基努·里维斯', '劳伦斯·菲什伯恩', '凯瑞-安·莫斯']","['动作', '科幻']",[' 美国 / 澳大利亚'],[' 英语 / 法语'],['2003-11-05(美国/中国大陆)'],['129 分钟'],['8.6'],['210880'],['45'],['47.6%'],['38.0%'],['13.0%'],['1.2%'],['0.3%']
,,,,,,,,,,,,,,,,
192,['海街日记 海街diary'],"['是枝裕和', '吉田秋生']","['绫濑遥', '长泽雅美', '夏帆']","['剧情', '家庭']",[' 日本'],[' 日语'],"['2015-05-14(戛纳电影节)', '2015-06-13(日本)']",['127分钟'],['8.7'],['196726'],['45'],['46.7%'],['42.9%'],['9.7%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
193,['浪潮 Die Welle'],"['丹尼斯·甘塞尔', '彼得·图万斯', '约翰尼·道金斯', '罗恩·比恩巴赫', '罗恩·琼斯']","['于尔根·福格尔', '弗雷德里克·劳', '马克思·雷迈特']","['剧情', '惊悚']",[' 德国'],[' 德语'],['2008-03-13(德国)'],['107 分钟'],['8.7'],['166393'],['45'],['47.8%'],['41.9%'],['9.5%'],['0.7%'],['0.2%']
,,,,,,,,,,,,,,,,
194,['朗读者 The Reader'],"['戴维·黑尔', '本哈德·施林克']","['凯特·温丝莱特', '大卫·克劳斯', '拉尔夫·费因斯']","['剧情', '爱情']",[' 美国 / 德国'],[' 英语 / 德语 / 希腊语 / 拉丁语'],"['2008-12-10(纽约首映)', '2009-01-30(美国)', '2009-02-26(德国)']",['124 分钟'],['8.5'],['324440'],['45'],['40.3%'],['46.6%'],['12.3%'],['0.7%'],['0.1%']
,,,,,,,,,,,,,,,,
195,['可可西里'],['陆川'],"['多布杰', '张正阳', '奇道']","['剧情', '犯罪']",[' 中国大陆 / 香港'],[' 汉语普通话 / 藏语'],"['2004-10-01(中国大陆)', '2005-04-21(香港)']",['85分钟(中国大陆)'],['8.7'],['163461'],['45'],['48.1%'],['40.8%'],['10.1%'],['0.7%'],['0.2%']
,,,,,,,,,,,,,,,,
196,['谍影重重2 The Bourne Supremacy'],"['罗伯特·鲁德鲁姆', '托尼·吉尔罗伊']","['马特·达蒙', '弗朗卡·波滕特', '布莱恩·考克斯']","['动作', '悬疑', '惊悚']",[' 美国 / 德国'],[' 英语 / 俄语 / 德语 / 意大利语'],"['2004-11-14(中国大陆)', '2004-07-15(洛杉矶首映)', '2004-07-23(美国)']",['108分钟'],['8.6'],['208181'],['45'],['43.3%'],['44.6%'],['11.4%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
197,['谍影重重 The Bourne Identity'],"['托尼·吉尔罗伊', '罗伯特·鲁德鲁姆', 'W. Blake Herron']","['马特·达蒙', '弗朗卡·波滕特', '克里斯·库珀']","['动作', '悬疑', '惊悚']",[' 美国 / 德国 / 捷克'],[' 英语 / 法语 / 德语 / 荷兰语 / 意大利语'],"['2002-11-21(中国大陆)', '2002-06-14(美国)']",['119分钟'],['8.5'],['248231'],['45'],['42.2%'],['43.8%'],['13.2%'],['0.7%'],['0.1%']
,,,,,,,,,,,,,,,,
198,['战争之王 Lord of War'],['安德鲁·尼科尔'],"['尼古拉斯·凯奇', '布丽姬·穆娜', '杰瑞德·莱托']","['剧情', '犯罪']",[' 美国 / 法国'],[' 英语 / 法语 / 德语 / 俄语 / 西班牙语 / 乌克兰语 / 阿拉伯语 / 土耳其语 / 汉语普通话'],['2005-09-16(美国)'],['122 分钟'],['8.6'],['215170'],['45'],['43.2%'],['44.2%'],['11.8%'],['0.7%'],['0.1%']
,,,,,,,,,,,,,,,,
199,['牯岭街少年杀人事件 牯嶺街少年殺人事件'],"['杨德昌', '赖铭堂', '杨顺清', '鸿鸿']","['张震', '杨静怡', '张国柱']","['剧情', '犯罪']",[' 台湾'],[' 汉语普通话 / 闽南语 / 上海话 / 粤语'],['1991-07-27(台湾)'],['237分钟(导演剪辑版)'],['8.8'],['140703'],['45'],['53.8%'],['34.1%'],['10.4%'],['1.3%'],['0.4%']
,,,,,,,,,,,,,,,,
200,['地球上的星星 Taare Zameen Par'],['阿莫尔·古普特'],"['达席尔·萨法瑞', '阿米尔·汗', '塔奈·切赫达']","['剧情', '家庭', '儿童']",[' 印度'],[' 印地语 / 英语'],['2007-12-21(印度)'],['165分钟'],['8.9'],['113053'],['45'],['54.5%'],['35.8%'],['8.8%'],['0.7%'],['0.2%']
,,,,,,,,,,,,,,,,
201,['惊魂记 Psycho'],"['约瑟夫·斯蒂凡诺', '罗伯特·布洛克']","['珍妮特·利', '安东尼·博金斯', '维拉·迈尔斯']","['悬疑', '惊悚', '恐怖']",[' 美国'],[' 英语'],"['1960-06-16(纽约首映)', '1960-09-08(美国)']",['109分钟'],['8.9'],['113021'],['45'],['54.0%'],['37.9%'],['7.5%'],['0.5%'],['0.2%']
,,,,,,,,,,,,,,,,
202,['青蛇'],"['李碧华', '徐克']","['张曼玉', '王祖贤', '赵文卓']","['剧情', '爱情', '奇幻', '古装']",[' 香港'],[' 粤语'],['1993-11-04(香港)'],['99分钟'],['8.5'],['288922'],['45'],['40.9%'],['43.7%'],['14.3%'],['1.0%'],['0.1%']
,,,,,,,,,,,,,,,,
203,['疯狂的石头'],"['张承', '宁浩', '岳小军']","['郭涛', '刘桦', '连晋']","['喜剧', '犯罪']",[' 中国大陆 / 香港'],[' 汉语普通话 / 重庆话'],"['2006-06-30(中国大陆)', '2006-08-10(香港)']",['106 分钟(香港)'],['8.4'],['427288'],['40'],['37.4%'],['45.7%'],['15.3%'],['1.3%'],['0.3%']
,,,,,,,,,,,,,,,,
204,['天书奇谭'],"['王树忱', '包蕾']","['丁建华', '毕克', '尚华']","['动画', '奇幻']",[' 中国大陆'],[' 汉语普通话'],"['1983(中国大陆)', '2019(中国大陆重映)']",['89分钟'],['9.1'],['78396'],['45'],['64.2%'],['28.5%'],['6.8%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
205,['一次别离 ????? ???? ?? ?????'],['阿斯哈·法哈蒂'],"['佩曼·莫阿迪', '蕾拉·哈塔米', '萨瑞·巴亚特']","['剧情', '家庭']",[' 伊朗 / 法国'],[' 波斯语'],"['2012-11-13(中国大陆)', '2011-02-15(柏林电影节)', '2011-03-16(伊朗)']",['123分钟'],['8.7'],['162123'],['45'],['48.2%'],['41.0%'],['9.9%'],['0.8%'],['0.2%']
,,,,,,,,,,,,,,,,
206,['追随 Following'],['克里斯托弗·诺兰'],"['杰里米·西奥伯德', '亚历克斯·霍', '露西·拉塞尔']","['悬疑', '惊悚', '犯罪']",[' 英国'],[' 英语'],"['1998-09-12(多伦多电影节)', '1999-11-05(英国)']",['69分钟'],['8.9'],['103386'],['45'],['55.5%'],['36.7%'],['7.2%'],['0.5%'],['0.2%']
,,,,,,,,,,,,,,,,
207,['终结者2：审判日 Terminator 2: Judgment Day'],"['詹姆斯·卡梅隆', '小威廉·威谢尔']","['阿诺·施瓦辛格', '琳达·汉密尔顿', '爱德华·福隆']","['动作', '科幻']",[' 美国 / 法国'],[' 英语 / 西班牙语'],"['1991-07-03(美国)', '2017-02-17(柏林电影节 3D)']",['137分钟'],['8.6'],['188065'],['45'],['45.7%'],['40.9%'],['12.7%'],['0.6%'],['0.1%']
,,,,,,,,,,,,,,,,
208,['源代码 Source Code'],['本·雷普利'],"['杰克·吉伦哈尔', '维拉·法米加', '米歇尔·莫纳汉']","['科幻', '悬疑', '惊悚']",[' 美国 / 加拿大'],[' 英语'],"['2011-08-30(中国大陆)', '2011-03-11(西南偏南电影节)', '2011-04-01(美国)']",['93分钟'],['8.4'],['502311'],['40'],['35.7%'],['49.2%'],['14.2%'],['0.8%'],['0.1%']
,,,,,,,,,,,,,,,,
209,['初恋这件小事 ???????????????????????...???'],['普特鹏·普罗萨卡·那·萨克那卡林'],"['平采娜·乐维瑟派布恩', '马里奥·毛瑞尔', '苏达拉·布查蓬']","['剧情', '喜剧', '爱情']",[' 泰国'],[' 泰语 / 印度尼西亚语 / 英语'],"['2012-06-05(中国大陆)', '2010-08-12(泰国)']",['118分钟(泰国)'],['8.3'],['598818'],['40'],['38.4%'],['42.2%'],['17.3%'],['1.7%'],['0.4%']
,,,,,,,,,,,,,,,,
210,['步履不停 歩いても 歩いても'],['是枝裕和'],"['阿部宽', '夏川结衣', '江原由希子']","['剧情', '家庭']",[' 日本'],[' 日语'],['2008-06-28(日本)'],['115分钟'],['8.8'],['127796'],['45'],['50.3%'],['40.8%'],['8.2%'],['0.5%'],['0.2%']
,,,,,,,,,,,,,,,,
211,['小萝莉的猴神大叔 Bajrangi Bhaijaan'],"['卡比尔·汗', '维杰耶德拉·普拉萨德']","['萨尔曼·汗', '哈莎莉·马洛特拉', '卡琳娜·卡普尔']","['剧情', '喜剧', '动作']",[' 印度'],[' 印地语 / 乌尔都语'],"['2018-03-02(中国大陆)', '2015-07-17(印度)']",['159分钟'],['8.5'],['248661'],['45'],['42.4%'],['40.7%'],['14.9%'],['1.7%'],['0.4%']
,,,,,,,,,,,,,,,,
212,['新龙门客栈 新龍門客棧'],"['徐克', '张炭', '吕晓禾', '司徒慧焯', '何冀平', '苏叔阳']","['张曼玉', '林青霞', '梁家辉']","['动作', '爱情', '武侠', '古装']",[' 香港 / 中国大陆'],[' 汉语普通话 / 粤语'],"['2012-02-24(中国大陆)', '1992-08-27(香港)']",['88分钟'],['8.5'],['243485'],['45'],['40.6%'],['46.2%'],['12.4%'],['0.7%'],['0.1%']
,,,,,,,,,,,,,,,,
213,['再次出发之纽约遇见你 Begin Again'],['约翰·卡尼'],"['凯拉·奈特莉', '马克·鲁弗洛', '亚当·莱文']","['喜剧', '爱情', '音乐']",[' 美国'],[' 英语'],"['2015-06-26(中国大陆)', '2013-09-07(多伦多电影节)', '2014-07-11(美国)']",['104分钟'],['8.5'],['231466'],['45'],['42.2%'],['43.5%'],['13.1%'],['1.0%'],['0.2%']
,,,,,,,,,,,,,,,,
214,['撞车 Crash'],"['保罗·哈吉斯', '罗伯特·莫里斯克']","['桑德拉·布洛克', '唐·钱德尔', '马特·狄龙']","['剧情', '犯罪']",[' 美国 / 德国'],[' 英语 / 波斯语 / 西班牙语 / 汉语普通话 / 韩语'],"['2004-09-10(多伦多电影节)', '2005-05-06(美国)']",['112分钟'],['8.6'],['211686'],['45'],['43.6%'],['42.8%'],['12.4%'],['0.9%'],['0.3%']
,,,,,,,,,,,,,,,,
215,['海蒂和爷爷 Heidi'],"['约翰娜·施皮里', '佩特拉·比翁迪娜·沃尔普']","['阿努克·斯特芬', '布鲁诺·甘茨', '昆林·艾格匹']","['剧情', '家庭', '冒险']",[' 德国 / 瑞士 / 南非'],[' 德语 / 瑞士德语 / 南非语'],"['2019-05-16(中国大陆)', '2015-12-10(德国)']",['111分钟'],['9.1'],['85232'],['45'],['61.5%'],['31.5%'],['6.5%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
216,['爱在午夜降临前 Before Midnight'],"['理查德·林克莱特', '朱莉·德尔佩', '伊桑·霍克', '金·克里桑']","['伊桑·霍克', '朱莉·德尔佩', '肖姆斯·戴维-菲茨帕特里克']","['剧情', '爱情']",[' 美国 / 希腊'],[' 英语 / 希腊语 / 法语'],['2013-06-14(美国)'],['109分钟'],['8.8'],['156369'],['45'],['53.5%'],['34.8%'],['10.3%'],['1.1%'],['0.4%']
,,,,,,,,,,,,,,,,
217,['梦之安魂曲 Requiem for a Dream'],"['小胡伯特·塞尔比', '达伦·阿伦诺夫斯基']","['艾伦·伯斯汀', '杰瑞德·莱托', '詹妮弗·康纳利']",['剧情'],[' 美国'],[' 英语'],"['2000-05-14(戛纳电影节)', '2000-12-15(美国)']",['102分钟'],['8.7'],['138753'],['45'],['51.7%'],['35.9%'],['10.6%'],['1.3%'],['0.5%']
,,,,,,,,,,,,,,,,
218,['无耻混蛋 Inglourious Basterds'],['昆汀·塔伦蒂诺'],"['布拉德·皮特', '梅拉尼·罗兰', '克里斯托弗·沃尔兹']","['剧情', '犯罪']",[' 美国 / 德国'],[' 英语 / 德语 / 法语 / 意大利语'],['2009-08-20(德国)'],['153分钟'],['8.5'],['278817'],['45'],['41.1%'],['44.6%'],['12.7%'],['1.2%'],['0.4%']
,,,,,,,,,,,,,,,,
219,['东京物语 東京物語'],"['野田高梧', '小津安二郎']","['笠智众', '原节子', '杉村春子']","['剧情', '家庭']",[' 日本'],[' 日语'],['1953-11-03(日本)'],['136 分钟'],['9.2'],['67905'],['45'],['66.4%'],['27.7%'],['5.2%'],['0.4%'],['0.3%']
,,,,,,,,,,,,,,,,
220,['城市之光 City Lights'],"['查理·卓别林', 'Harry Clive', 'Harry Crocker']","['查理·卓别林', '弗吉尼亚·切瑞尔', '佛罗伦斯·李']","['剧情', '喜剧', '爱情']",[' 美国'],[' 英语'],"['1931-01-30(洛杉矶首映)', '1931-03-07(美国)']",['87 分钟'],['9.3'],['60985'],['45'],['68.3%'],['27.0%'],['4.3%'],['0.2%'],['0.1%']
,,,,,,,,,,,,,,,,
221,['彗星来的那一夜 Coherence'],"['詹姆斯·沃德·布柯特', '亚历克斯·马努吉安']","['艾米丽·芭尔多尼', '莫瑞·史特林', '尼古拉斯·布兰登']","['科幻', '悬疑', '惊悚']",[' 美国 / 英国'],[' 英语'],"['2013-09-19(奇幻电影节)', '2014-08-06(美国)']",['89分钟'],['8.5'],['257105'],['45'],['40.5%'],['44.6%'],['13.2%'],['1.3%'],['0.4%']
,,,,,,,,,,,,,,,,
222,['绿里奇迹 The Green Mile'],"['弗兰克·德拉邦特', '斯蒂芬·金']","['汤姆·汉克斯', '大卫·摩斯', '迈克·克拉克·邓肯']","['剧情', '悬疑', '犯罪', '奇幻']",[' 美国'],[' 英语 / 法语'],['1999-12-10(美国)'],['189 分钟'],['8.7'],['137291'],['45'],['49.6%'],['38.2%'],['11.0%'],['1.0%'],['0.3%']
,,,,,,,,,,,,,,,,
223,['2001太空漫游 2001: A Space Odyssey'],"['亚瑟·克拉克', '斯坦利·库布里克']","['凯尔·杜拉', '加里·洛克伍德', '威廉姆·西尔维斯特']","['科幻', '惊悚', '冒险']",[' 英国 / 美国'],[' 英语 / 俄语'],"['1968-04-02(华盛顿首映)', '1968-05-12(英国)']",['149分钟'],['8.7'],['138214'],['45'],['55.7%'],['29.7%'],['11.2%'],['2.2%'],['1.2%']
,,,,,,,,,,,,,,,,
224,['血钻 Blood Diamond'],['查尔斯·里维特'],"['莱昂纳多·迪卡普里奥', '杰曼·翰苏', '詹妮弗·康纳利']","['剧情', '惊悚', '冒险']",[' 美国 / 德国'],[' 英语 / 门德语 / 南非荷兰语'],['2006-12-08(美国)'],['143 分钟'],['8.6'],['181767'],['45'],['41.6%'],['47.1%'],['10.8%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
225,['这个男人来自地球 The Man from Earth'],['杰罗姆·比克斯比'],"['大卫·李·史密斯', '托尼·托德', '约翰·比灵斯列']","['剧情', '科幻']",[' 美国'],[' 英语'],['2007-11-13(美国)'],['87 分钟'],['8.5'],['235091'],['45'],['45.9%'],['37.0%'],['14.0%'],['2.2%'],['0.9%']
,,,,,,,,,,,,,,,,
226,['E.T. 外星人 E.T.: The Extra-Terrestrial'],['梅丽莎·马西森'],"['亨利·托马斯', '迪·沃伦斯', '罗伯特·麦克纳夫顿']","['剧情', '科幻']",[' 美国'],[' 英语'],"['1982-05-26(戛纳电影节)', '1982-06-11(美国)']",['115分钟'],['8.5'],['201329'],['45'],['41.5%'],['45.1%'],['12.5%'],['0.7%'],['0.2%']
,,,,,,,,,,,,,,,,
227,['末路狂花 Thelma & Louise'],['卡莉·克里'],"['吉娜·戴维斯', '苏珊·萨兰登', '哈威·凯特尔']","['剧情', '惊悚', '犯罪']",[' 美国 / 法国'],[' 英语'],"['1991-05-24(美国)', '1991-05-29(法国)']",['130 分钟'],['8.7'],['131604'],['45'],['48.8%'],['40.3%'],['10.1%'],['0.7%'],['0.2%']
,,,,,,,,,,,,,,,,
228,['功夫'],"['曾瑾昌', '陈文强', '周星驰', '霍昕']","['周星驰', '元秋', '元华']","['喜剧', '动作', '犯罪', '奇幻']",[' 中国大陆 / 香港'],[' 粤语 / 汉语普通话 / 手语'],"['2004-12-23(中国大陆/香港)', '2015-01-15(中国大陆3D)', '2004-09-14(多伦多电影节)']",['100分钟(3D重映)'],['8.3'],['418865'],['40'],['39.3%'],['39.7%'],['18.8%'],['1.8%'],['0.3%']
,,,,,,,,,,,,,,,,
229,['聚焦 Spotlight'],"['乔希·辛格', '汤姆·麦卡锡']","['马克·鲁弗洛', '迈克尔·基顿', '瑞秋·麦克亚当斯']","['剧情', '传记']",[' 美国'],[' 英语'],"['2015-09-03(威尼斯电影节)', '2015-11-25(美国)']",['128分钟'],['8.8'],['164469'],['45'],['50.0%'],['40.9%'],['8.4%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
230,['变脸 Face/Off'],"['麦克·韦柏', '迈克尔·科拉里']","['约翰·特拉沃尔塔', '尼古拉斯·凯奇', '琼·艾伦']","['动作', '科幻', '惊悚', '犯罪']",[' 美国'],[' 英语 / 拉丁语'],['1997-06-27(美国)'],['138分钟'],['8.4'],['262231'],['40'],['37.6%'],['47.5%'],['14.0%'],['0.8%'],['0.1%']
,,,,,,,,,,,,,,,,
231,['勇闯夺命岛 The Rock'],"['大卫·韦斯伯格', '道格拉斯·库克']","['肖恩·康纳利', '尼古拉斯·凯奇', '艾德·哈里斯']","['动作', '冒险']",[' 美国'],[' 英语'],['1996-06-07(美国)'],['136分钟'],['8.6'],['174722'],['45'],['43.2%'],['43.8%'],['12.1%'],['0.7%'],['0.1%']
,,,,,,,,,,,,,,,,
232,['发条橙 A Clockwork Orange'],"['斯坦利·库布里克', '安东尼·伯吉斯']","['马尔科姆·麦克道威尔', '帕特里克·马基', '迈克尔·贝茨']","['剧情', '科幻', '犯罪']",[' 英国 / 美国'],[' 英语'],"['1971-12-19(纽约首映)', '1972-01-13(英国)']",['136 分钟'],['8.5'],['228256'],['45'],['43.7%'],['40.2%'],['13.7%'],['1.7%'],['0.7%']
,,,,,,,,,,,,,,,,
233,['黑鹰坠落 Black Hawk Down'],"['肯·诺兰', '马克·鲍登']","['乔什·哈奈特', '伊万·麦克格雷格', '汤姆·塞兹摩尔']","['动作', '历史', '战争']",[' 美国'],[' 英语 / 阿拉伯语 / 索马里语'],['2001-12-18(美国)'],['144分钟'],['8.6'],['158891'],['45'],['44.7%'],['42.7%'],['11.6%'],['0.8%'],['0.2%']
,,,,,,,,,,,,,,,,
234,"['黄金三镖客 Il buono, il brutto, il cattivo.']","['阿杰诺雷·因克罗奇', '富里奥·斯卡佩利', '卢恰诺·温琴佐尼', '赛尔乔·莱昂内']","['克林特·伊斯特伍德', '埃里·瓦拉赫', '李·范·克里夫']","['西部', '冒险']",[' 意大利 / 西班牙 / 西德'],[' 意大利语 / 英语'],['1966-12-23(意大利)'],['161 分钟'],['9.1'],['67412'],['45'],['64.2%'],['28.8%'],['6.2%'],['0.5%'],['0.2%']
,,,,,,,,,,,,,,,,
235,['秒速5厘米 秒速5センチメートル'],['新海诚'],"['水桥研二', '近藤好美 ', '花村怜美']","['剧情', '爱情', '动画']",[' 日本'],[' 日语'],['2007-03-03(日本)'],['63分钟'],['8.3'],['390959'],['40'],['40.9%'],['37.5%'],['18.4%'],['2.6%'],['0.7%']
,,,,,,,,,,,,,,,,
236,['非常嫌疑犯 The Usual Suspects'],['克里斯托弗·麦奎里'],"['史蒂芬·鲍德温', '加布里埃尔·伯恩', '本尼西奥·德尔·托罗']","['剧情', '悬疑', '惊悚', '犯罪']",[' 德国 / 美国'],[' 英语 / 匈牙利语 / 西班牙语 / 法语'],"['1995-01-25(圣丹斯电影节)', '1995-09-15(美国)']",['106分钟'],['8.6'],['154047'],['45'],['45.0%'],['42.7%'],['11.2%'],['0.8%'],['0.2%']
,,,,,,,,,,,,,,,,
237,['我爱你 ??? ?????'],"['姜草', '秋昌旼']","['宋在浩', '李顺载', '尹秀晶']","['剧情', '爱情']",[' 韩国'],[' 韩语'],['2011-02-17(韩国)'],['118分钟'],['9.0'],['79457'],['45'],['60.8%'],['30.8%'],['7.5%'],['0.6%'],['0.2%']
,,,,,,,,,,,,,,,,
238,["国王的演讲 The King's Speech"],['大卫·塞德勒'],"['科林·费尔斯', '杰弗里·拉什', '海伦娜·伯翰·卡特']","['剧情', '传记', '历史']",[' 英国 / 澳大利亚 / 美国'],[' 英语'],"['2012-02-24(中国大陆)', '2010-09-06(特柳赖德电影节)', '2010-12-25(美国)', '2011-01-07(英国)']",['118分钟'],['8.4'],['419069'],['40'],['33.9%'],['50.9%'],['14.3%'],['0.7%'],['0.2%']
,,,,,,,,,,,,,,,,
239,['奇迹男孩 Wonder'],"['斯蒂芬·卓博斯基', '斯蒂夫·康拉德', '杰克·索恩', 'R·J·帕拉西奥']","['雅各布·特伦布莱', '朱莉娅·罗伯茨', '伊扎贝拉·维多维奇']","['剧情', '家庭', '儿童']",[' 美国 / 香港'],[' 英语'],"['2018-01-19(中国大陆)', '2017-11-17(美国)']",['113分钟'],['8.6'],['293228'],['45'],['44.0%'],['43.8%'],['11.5%'],['0.6%'],['0.1%']
,,,,,,,,,,,,,,,,
240,['卡萨布兰卡 Casablanca'],"['朱利叶斯·J·爱泼斯坦', '菲利普·G·爱泼斯坦', '霍华德·科克', 'Murray Burnett', 'Joan Alison', '凯西·罗宾逊']","['亨弗莱·鲍嘉', '英格丽·褒曼', '保罗·亨雷德']","['剧情', '爱情', '战争']",[' 美国'],[' 英语 / 法语 / 德语 / 意大利语'],"['1942-11-26(纽约首映)', '1943-01-23(美国)']",['102分钟'],['8.6'],['153705'],['45'],['45.5%'],['41.4%'],['12.3%'],['0.7%'],['0.1%']
,,,,,,,,,,,,,,,,
241,['疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road'],"['乔治·米勒', '布伦丹·麦卡锡', '尼克·拉图里']","['汤姆·哈迪', '查理兹·塞隆', '尼古拉斯·霍尔特']","['动作', '科幻', '冒险']",[' 澳大利亚 / 美国'],[' 英语'],"['2015-05-14(澳大利亚)', '2015-05-15(美国)']",['120分钟'],['8.6'],['274965'],['45'],['47.0%'],['37.6%'],['12.9%'],['1.8%'],['0.7%']
,,,,,,,,,,,,,,,,
242,['千钧一发 Gattaca'],['安德鲁·尼科尔'],"['伊桑·霍克', '乌玛·瑟曼', '裘德·洛']","['剧情', '科幻', '惊悚']",[' 美国'],[' 英语 / 世界语'],['1997-10-24(美国)'],['106分钟'],['8.7'],['121605'],['45'],['48.5%'],['40.8%'],['10.0%'],['0.6%'],['0.2%']
,,,,,,,,,,,,,,,,
243,['遗愿清单 The Bucket List'],['Justin Zackham'],"['杰克·尼科尔森', '摩根·弗里曼', '西恩·海耶斯']","['剧情', '喜剧', '冒险']",[' 美国'],[' 英语'],"['2007-12-25(多伦多电影节)', '2008-01-11(美国)']",['97 分钟'],['8.6'],['176584'],['45'],['41.9%'],['44.8%'],['12.4%'],['0.7%'],['0.1%']
,,,,,,,,,,,,,,,,
244,['美国丽人 American Beauty'],['艾伦·鲍尔'],"['凯文·史派西', '安妮特·贝宁', '索拉·伯奇']","['剧情', '爱情', '家庭']",[' 美国'],[' 英语'],"['1999-09-08(洛杉矶首映)', '1999-10-01(美国)']",['122分钟'],['8.5'],['228343'],['45'],['40.1%'],['44.6%'],['14.1%'],['0.9%'],['0.2%']
,,,,,,,,,,,,,,,,
245,['驴得水'],"['周申', '刘露']","['任素汐', '大力', '刘帅良']","['剧情', '喜剧']",[' 中国大陆'],[' 汉语普通话'],['2016-10-28(中国大陆)'],['111分钟'],['8.3'],['467906'],['40'],['39.1%'],['42.9%'],['14.6%'],['2.5%'],['0.9%']
,,,,,,,,,,,,,,,,
246,['荒岛余生 Cast Away'],['小威廉·保尔斯'],"['汤姆·汉克斯', '海伦·亨特', '克里斯·诺斯']","['剧情', '冒险']",[' 美国'],[' 英语 / 俄语'],['2000-12-22(美国)'],['143分钟'],['8.5'],['175582'],['45'],['40.3%'],['47.0%'],['12.0%'],['0.6%'],['0.1%']
,,,,,,,,,,,,,,,,
247,['四个春天'],"['陆运坤', '李桂贤']",[],"['纪录片', '家庭']",[' 中国大陆'],[' 贵州独山话'],"['2019-01-04(中国大陆)', '2017-12-30(UCCA艺术放映)', '2018-07-23(FIRST青年影展)']",['105分钟'],['8.9'],['76512'],['45'],['55.7%'],['36.0%'],['7.3%'],['0.7%'],['0.2%']
,,,,,,,,,,,,,,,,
248,['碧海蓝天 Le grand bleu'],"['吕克·贝松', 'Robert Garland', 'Marilyn Goldin', '雅克·梅欧', 'Marc Perrier']","['让-马克·巴尔', '让·雷诺', '罗姗娜·阿奎特']","['剧情', '爱情']",[' 法国 / 美国 / 意大利'],[' 法语 / 英语 / 意大利语'],['1988-05-11(法国)'],['132分钟(法国)'],['8.7'],['120549'],['45'],['50.0%'],['36.8%'],['11.7%'],['1.1%'],['0.3%']
,,,,,,,,,,,,,,,,
249,['新世界 ???'],['朴勋政'],"['李政宰', '崔岷植', '黄政民']","['剧情', '犯罪']",[' 韩国'],[' 韩语 / 汉语普通话'],['2013-02-21(韩国)'],['134分钟'],['8.7'],['129152'],['45'],['45.8%'],['43.0%'],['10.3%'],['0.7%'],['0.2%']
,,,,,,,,,,,,,,,,
250,['枪火 鎗火'],['游乃海'],"['吴镇宇', '任达华', '黄秋生']","['剧情', '动作', '犯罪']",[' 香港'],[' 粤语'],['1999-11-19(香港)'],['84分钟(香港)'],['8.7'],['127798'],['45'],['47.8%'],['39.9%'],['11.2%'],['0.9%'],['0.3%']
